u,i,ts,label,idx,e_idx
1,3,0.6628131711233602,-1,1,1
2,3,0.681325043554947,-1,2,2
2,4,0.9145078451151689,1,3,3
2,4,0.9381363144697645,0,4,4
2,4,1.4053304947686247,0,5,5
1,3,1.5589781923172639,-1,6,6
2,3,1.6165017727966835,-1,7,7
2,4,1.6810451113902347,1,8,8
2,4,1.6896306420848937,1,9,9
2,4,2.1567792186060477,1,10,10
1,4,3.3610530230219604,-1,11,11
2,4,4.103221502340551,0,12,12
2,4,4.237217596831009,0,13,13
2,4,4.404215708028868,0,14,14
2,4,4.798120314893741,0,15,15
2,4,5.092632180298038,0,16,16
2,4,5.426247074728588,0,17,17
2,4,6.472400026677807,0,18,18
2,4,6.6622991761657975,0,19,19
1,4,6.675244048964725,-1,20,20
1,3,6.963320787041688,-1,21,21
2,3,6.998110502549621,-1,22,22
2,4,7.003354399396755,1,23,23
2,4,7.0045554557523015,0,24,24
2,4,7.0430539215396815,1,25,25
2,4,7.057212686736139,1,26,26
2,4,7.081813653474438,1,27,27
2,4,7.156181861521257,1,28,28
2,4,7.23030626194937,1,29,29
2,4,7.237313443256683,1,30,30
2,4,7.288446958153906,1,31,31
1,4,7.503093333779059,-1,32,32
2,4,8.160879041886378,0,33,33
2,4,8.426794727339281,0,34,34
2,4,8.612691111316378,0,35,35
2,4,8.978871165565428,0,36,36
2,4,9.044234590035458,0,37,37
1,3,10.441348526013378,-1,38,38
2,3,10.452221243935773,-1,39,39
2,4,10.61693644298595,1,40,40
1,4,12.771019214936475,-1,41,41
1,4,12.832675776194874,-1,42,42
1,4,13.45637160667287,-1,43,43
1,3,14.103963163685684,-1,44,44
2,3,14.114451793872954,-1,45,45
2,3,14.13589104402642,-1,46,46
2,4,14.14538837493265,1,47,47
2,4,14.192484319977854,1,48,48
2,4,14.212988711651901,1,49,49
2,4,14.234147612761383,1,50,50
1,3,14.337430551586069,-1,51,51
2,4,14.341471935262213,0,52,52
2,3,14.38501577659321,-1,53,53
2,3,14.41855542218863,-1,54,54
2,4,14.430272110285346,1,55,55
2,4,14.442858393965588,1,56,56
2,4,14.465791754475637,1,57,57
2,4,14.474838116570401,1,58,58
2,3,14.501773989068795,-1,59,59
2,4,14.505291881750749,1,60,60
2,4,14.54258255671087,1,61,61
2,4,14.595179834389002,1,62,62
1,4,16.347136860320955,-1,63,63
1,3,16.408870709345035,-1,64,64
2,4,16.724968786001305,0,65,65
1,4,17.167914997189364,-1,66,66
1,4,17.34904643136937,-1,67,67
1,3,21.551828347742106,-1,68,68
2,3,21.564379975346174,-1,69,69
1,4,21.708892347939745,-1,70,70
2,4,22.452609590855165,1,71,71
2,4,22.556287452787508,0,72,72
2,4,23.80100667302841,0,73,73
1,3,26.065575028349702,-1,74,74
1,4,26.664229885612496,-1,75,75
1,4,27.160825672179207,-1,76,76
1,3,28.06117019127402,-1,77,77
2,3,28.0835292023277,-1,78,78
2,4,28.200423373460836,1,79,79
2,4,28.233468531602426,1,80,80
1,3,28.249336677827582,-1,81,81
2,3,28.265185777485346,-1,82,82
2,4,28.287716694580855,1,83,83
2,4,28.325271928573347,1,84,84
2,4,28.829598965005374,0,85,85
1,4,29.17490586603767,-1,86,86
1,4,29.196227040137774,-1,87,87
2,4,30.777959708260344,0,88,88
2,4,31.20831181769614,0,89,89
1,3,31.909215922692614,-1,90,90
2,3,32.05187348052549,-1,91,91
2,4,32.0827031033655,1,92,92
2,4,32.18637198068567,0,93,93
1,3,32.450760247286425,-1,94,94
2,3,32.56999614661625,-1,95,95
2,4,32.625506901973324,1,96,96
2,4,32.7454293675136,1,97,97
1,3,33.43300451187934,-1,98,98
2,3,33.492062782488254,-1,99,99
2,4,33.51317220619059,1,100,100
2,4,33.78351955332179,0,101,101
1,4,34.266527474232426,-1,102,102
2,4,35.554104396464176,0,103,103
1,4,37.33182673212067,-1,104,104
2,4,38.308944640926704,0,105,105
1,4,38.82436473378709,-1,106,106
1,4,39.39402991617918,-1,107,107
2,4,39.49052987215564,0,108,108
2,4,40.88025491487063,0,109,109
1,3,41.60165253099606,-1,110,110
2,4,42.76070323078108,0,111,111
1,3,43.423956728307644,-1,112,112
2,4,43.45841060450836,0,113,113
1,4,44.09800907884222,-1,114,114
2,4,44.90180220589697,0,115,115
2,4,45.561161505737545,0,116,116
1,3,46.368315929785915,-1,117,117
2,3,46.54285194177483,-1,118,118
2,4,46.54619263310066,1,119,119
2,4,46.577921731128335,0,120,120
2,4,46.59585692847024,1,121,121
1,3,46.8413098263601,-1,122,122
2,4,46.89032407739054,1,123,123
2,3,47.11224514397518,-1,124,124
2,4,47.127369143060406,1,125,125
2,4,47.1528262693725,1,126,126
2,4,47.1594663475595,1,127,127
2,4,47.2279227315006,1,128,128
1,4,47.314480296452984,-1,129,129
1,3,47.80625885772184,-1,130,130
2,3,47.815745076846675,-1,131,131
2,4,47.84619658344743,1,132,132
2,4,47.863019117312845,1,133,133
2,4,47.87742014236049,1,134,134
2,4,47.87856609581852,1,135,135
2,4,47.97294538085636,1,136,136
2,4,48.01066909072205,1,137,137
1,3,49.73837667696397,-1,138,138
1,3,50.13332640845263,-1,139,139
2,3,50.196882360364825,-1,140,140
2,3,50.2418689257671,-1,141,141
2,4,50.26753275420233,1,142,142
2,3,50.285957445366535,-1,143,143
2,4,50.29136661392236,1,144,144
2,4,50.29936465934515,1,145,145
2,3,50.312519716177775,-1,146,146
2,4,50.312671275221284,1,147,147
2,4,50.32482833583321,1,148,148
2,4,50.34048282041172,1,149,149
2,3,50.34461235865435,-1,150,150
2,4,50.361167242812435,1,151,151
2,4,50.3718028286669,1,152,152
2,4,50.38405961637687,1,153,153
2,4,50.39931746369918,1,154,154
2,4,50.399579387789544,1,155,155
2,4,50.43210881403096,1,156,156
2,4,50.46673771846129,1,157,157
2,4,50.86138298114868,0,158,158
1,3,50.95725308767988,-1,159,159
1,3,51.259346961163374,-1,160,160
2,4,51.407511294507394,0,161,161
2,4,51.427488668104075,0,162,162
2,4,52.1018714884542,0,163,163
2,4,54.26635917160525,0,164,164
2,4,54.5964261732009,0,165,165
2,4,55.15231851282912,0,166,166
2,4,55.451229468236406,0,167,167
2,4,56.36028649292719,0,168,168
2,4,56.61345323559723,0,169,169
1,3,57.24390503989056,-1,170,170
1,4,57.69316973658513,-1,171,171
1,3,58.0195104367056,-1,172,172
1,3,58.052820663827056,-1,173,173
2,3,58.08259172391865,-1,174,174
2,4,58.08773197202351,1,175,175
2,3,58.09326829050795,-1,176,176
2,4,58.108971311127924,1,177,177
2,4,58.20017766531974,1,178,178
2,4,58.22062103131427,1,179,179
1,4,58.37803732445409,-1,180,180
1,3,58.47302555032647,-1,181,181
1,4,58.51553287889047,-1,182,182
1,4,58.89988302999164,-1,183,183
2,4,58.92523759574031,0,184,184
2,4,58.96152681460131,0,185,185
1,4,59.53871016848267,-1,186,186
1,3,59.97915073646701,-1,187,187
1,4,60.2005689057722,-1,188,188
2,4,62.39559067390469,0,189,189
2,4,62.56626954855216,0,190,190
2,4,62.95246376618768,0,191,191
1,4,63.0579906139353,-1,192,192
1,4,63.284289111912436,-1,193,193
2,4,63.42425274133293,0,194,194
1,4,63.641080354206046,-1,195,195
2,4,64.41119429580398,0,196,196
1,3,64.58642196629783,-1,197,197
2,4,65.01548508165028,0,198,198
2,4,65.05848061400253,0,199,199
2,4,65.3529302124162,0,200,200
2,4,65.39848193134335,0,201,201
2,4,65.97502595814998,0,202,202
1,3,66.59268245959045,-1,203,203
2,3,66.60670983639237,-1,204,204
2,3,66.664832190261,-1,205,205
2,4,66.897621458577,0,206,206
2,4,67.0601338579486,1,207,207
1,4,67.45930585671921,-1,208,208
1,3,67.67848376428866,-1,209,209
2,3,67.67972294880299,-1,210,210
2,4,67.68151469961553,1,211,211
1,4,67.7099020352418,-1,212,212
2,4,67.7104938829366,1,213,213
2,4,67.7295100498018,1,214,214
2,4,67.73190852485209,1,215,215
1,4,67.81090095957514,-1,216,216
1,4,68.23199889961137,-1,217,217
2,4,68.97967381394025,0,218,218
1,3,68.99853518763958,-1,219,219
1,3,69.53368751613745,-1,220,220
1,4,71.2856176419907,-1,221,221
1,3,71.87333418434048,-1,222,222
1,4,71.92667552251282,-1,223,223
1,4,72.03665222355143,-1,224,224
1,4,72.14317831967708,-1,225,225
2,4,72.76447295351156,0,226,226
2,4,73.95864335715683,0,227,227
2,4,74.597995188179,0,228,228
2,4,74.83087286802638,0,229,229
1,4,76.91099395952858,-1,230,230
2,4,78.48968514285492,0,231,231
1,4,78.70092603686672,-1,232,232
2,4,78.72716327720033,0,233,233
1,4,78.78876489622868,-1,234,234
2,4,79.2712445670341,0,235,235
2,4,80.02125492323862,0,236,236
1,4,80.32011144784865,-1,237,237
1,3,80.89394964137303,-1,238,238
2,4,81.01336569243131,0,239,239
2,4,81.9388890700087,0,240,240
2,4,82.03843385526976,0,241,241
1,3,82.15127667321558,-1,242,242
2,3,82.175079543149,-1,243,243
2,4,82.17791697792866,1,244,244
2,3,82.20764718525231,-1,245,245
1,4,82.22768489693448,-1,246,246
1,4,82.25628776257676,-1,247,247
2,4,82.27499756182686,1,248,248
2,4,82.68752752248416,1,249,249
1,4,82.78455331841558,-1,250,250
1,4,83.01497785748455,-1,251,251
1,4,83.69178635985952,-1,252,252
2,4,83.77148881630632,0,253,253
2,4,83.82050686577864,0,254,254
2,4,83.84016215850316,0,255,255
2,4,84.43138877067943,0,256,256
1,3,85.31321711909612,-1,257,257
1,4,86.63686032185743,-1,258,258
1,4,86.638563264259,-1,259,259
1,3,87.86423887008017,-1,260,260
2,3,87.90574564280551,-1,261,261
2,3,87.94595424831617,-1,262,262
2,4,87.96238904667877,1,263,263
2,3,87.99363758808938,-1,264,264
2,4,88.00689503162937,1,265,265
2,4,88.0076544500979,1,266,266
2,4,88.09836127743166,1,267,267
2,4,88.1562706076099,1,268,268
2,4,88.19010063014349,0,269,269
1,4,88.25322140257096,-1,270,270
2,4,89.12380647580169,0,271,271
1,3,89.44081425044487,-1,272,272
2,4,89.68797628739948,0,273,273
1,4,89.72785128820156,-1,274,274
1,4,91.47387638880811,-1,275,275
2,4,93.0194381648091,0,276,276
1,3,93.89676293640315,-1,277,277
2,4,93.93373916359806,0,278,278
2,3,93.96874037428209,-1,279,279
2,3,93.97863394832771,-1,280,280
2,4,93.9788781524561,1,281,281
2,4,94.02969429294916,1,282,282
2,4,94.05858673828912,1,283,283
1,3,94.1459797838148,-1,284,284
2,4,94.15223417765276,1,285,285
2,3,94.26241450168946,-1,286,286
2,4,94.28014078534804,1,287,287
2,4,94.31236686954125,1,288,288
2,4,94.34972973110072,1,289,289
2,3,94.42072223191327,-1,290,290
2,4,94.42107239604869,1,291,291
1,4,94.55831571611893,-1,292,292
2,4,94.72812480941177,1,293,293
1,4,95.46795375877277,-1,294,294
2,4,96.40857700157045,0,295,295
2,4,96.71781306133113,0,296,296
2,4,98.9659084864775,0,297,297
1,4,99.60426609420121,-1,298,298
1,4,99.84800960553656,-1,299,299
1,3,100.8596851321973,-1,300,300
2,3,100.94673224890863,-1,301,301
2,4,100.97165010890899,1,302,302
2,4,100.991009143718,1,303,303
2,4,101.09242126222061,1,304,304
2,4,101.22993552368868,1,305,305
1,3,101.26783684443106,-1,306,306
1,4,101.55259326667283,-1,307,307
1,3,102.36093121016305,-1,308,308
1,4,102.66590275341262,-1,309,309
1,4,103.13939461634743,-1,310,310
2,4,103.17956743306569,0,311,311
2,4,104.26432589457865,0,312,312
2,4,104.54085822507264,0,313,313
2,4,104.58193429652488,0,314,314
2,4,105.1323449768183,0,315,315
2,4,105.52779291707988,0,316,316
2,4,106.98339429036406,0,317,317
2,4,107.33293985756008,0,318,318
1,4,107.48856442064967,-1,319,319
